Election Year,County,Race,Gender,Voted,Registered
11/1/2014,APPLING,BLACK,MALE,251,908
11/1/2014,APPLING,BLACK,FEMALE,419,1211
11/1/2014,APPLING,BLACK,UNKNOWN,0,0
11/1/2014,APPLING,WHITE,MALE,1801,3780
11/1/2014,APPLING,WHITE,FEMALE,1998,4358
11/1/2014,APPLING,WHITE,UNKNOWN,0,0
11/1/2014,APPLING,ASIA-PI,MALE,4,20
11/1/2014,APPLING,ASIA-PI,FEMALE,3,21
11/1/2014,APPLING,ASIA-PI,UNKNOWN,0,0
11/1/2014,APPLING,HISP-LT,MALE,10,66
11/1/2014,APPLING,HISP-LT,FEMALE,6,68
11/1/2014,APPLING,HISP-LT,UNKNOWN,0,0
11/1/2014,APPLING,NATIVE-AM,MALE,1,2
11/1/2014,APPLING,NATIVE-AM,FEMALE,0,2
11/1/2014,APPLING,NATIVE-AM,UNKNOWN,0,0
11/1/2014,APPLING,OTHER,MALE,2,19
11/1/2014,APPLING,OTHER,FEMALE,3,21
11/1/2014,APPLING,OTHER,UNKNOWN,0,0
11/1/2014,APPLING,UNKNOWN,MALE,18,105
11/1/2014,APPLING,UNKNOWN,FEMALE,23,101
11/1/2014,APPLING,UNKNOWN,UNKNOWN,0,0
11/1/2014,ATKINSON,BLACK,MALE,145,382
11/1/2014,ATKINSON,BLACK,FEMALE,236,520
11/1/2014,ATKINSON,BLACK,UNKNOWN,0,0
11/1/2014,ATKINSON,WHITE,MALE,625,1439
11/1/2014,ATKINSON,WHITE,FEMALE,676,1672
11/1/2014,ATKINSON,WHITE,UNKNOWN,0,0
11/1/2014,ATKINSON,ASIA-PI,MALE,2,2
11/1/2014,ATKINSON,ASIA-PI,FEMALE,0,0
11/1/2014,ATKINSON,ASIA-PI,UNKNOWN,0,0
11/1/2014,ATKINSON,HISP-LT,MALE,8,80
11/1/2014,ATKINSON,HISP-LT,FEMALE,13,95
11/1/2014,ATKINSON,HISP-LT,UNKNOWN,0,1
11/1/2014,ATKINSON,NATIVE-AM,MALE,0,0
11/1/2014,ATKINSON,NATIVE-AM,FEMALE,0,3
11/1/2014,ATKINSON,NATIVE-AM,UNKNOWN,0,0
11/1/2014,ATKINSON,OTHER,MALE,0,7
11/1/2014,ATKINSON,OTHER,FEMALE,2,4
11/1/2014,ATKINSON,OTHER,UNKNOWN,0,0
11/1/2014,ATKINSON,UNKNOWN,MALE,3,24
11/1/2014,ATKINSON,UNKNOWN,FEMALE,4,35
11/1/2014,ATKINSON,UNKNOWN,UNKNOWN,0,2
11/1/2014,BACON,BLACK,MALE,63,326
11/1/2014,BACON,BLACK,FEMALE,145,526
11/1/2014,BACON,BLACK,UNKNOWN,0,1
11/1/2014,BACON,WHITE,MALE,972,2177
11/1/2014,BACON,WHITE,FEMALE,1020,2472
11/1/2014,BACON,WHITE,UNKNOWN,0,0
11/1/2014,BACON,ASIA-PI,MALE,1,7
11/1/2014,BACON,ASIA-PI,FEMALE,2,9
11/1/2014,BACON,ASIA-PI,UNKNOWN,0,0
11/1/2014,BACON,HISP-LT,MALE,2,19
11/1/2014,BACON,HISP-LT,FEMALE,2,24
11/1/2014,BACON,HISP-LT,UNKNOWN,0,0
11/1/2014,BACON,NATIVE-AM,MALE,1,2
11/1/2014,BACON,NATIVE-AM,FEMALE,0,0
11/1/2014,BACON,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BACON,OTHER,MALE,0,7
11/1/2014,BACON,OTHER,FEMALE,1,11
11/1/2014,BACON,OTHER,UNKNOWN,0,0
11/1/2014,BACON,UNKNOWN,MALE,36,130
11/1/2014,BACON,UNKNOWN,FEMALE,29,127
11/1/2014,BACON,UNKNOWN,UNKNOWN,0,0
11/1/2014,BAKER,BLACK,MALE,160,427
11/1/2014,BAKER,BLACK,FEMALE,261,564
11/1/2014,BAKER,BLACK,UNKNOWN,0,0
11/1/2014,BAKER,WHITE,MALE,282,504
11/1/2014,BAKER,WHITE,FEMALE,289,576
11/1/2014,BAKER,WHITE,UNKNOWN,0,0
11/1/2014,BAKER,ASIA-PI,MALE,3,5
11/1/2014,BAKER,ASIA-PI,FEMALE,1,5
11/1/2014,BAKER,ASIA-PI,UNKNOWN,0,0
11/1/2014,BAKER,HISP-LT,MALE,0,2
11/1/2014,BAKER,HISP-LT,FEMALE,1,9
11/1/2014,BAKER,HISP-LT,UNKNOWN,0,0
11/1/2014,BAKER,NATIVE-AM,MALE,0,0
11/1/2014,BAKER,NATIVE-AM,FEMALE,0,1
11/1/2014,BAKER,NATIVE-AM,UNKNOWN,0,0
11/1/2014,BAKER,OTHER,MALE,1,3
11/1/2014,BAKER,OTHER,FEMALE,2,5
11/1/2014,BAKER,OTHER,UNKNOWN,0,0
11/1/2014,BAKER,UNKNOWN,MALE,5,12
11/1/2014,BAKER,UNKNOWN,FEMALE,10,13
11/1/2014,BAKER,UNKNOWN,UNKNOWN,0,1
